iris_code,iris_name,zone,observed_prix_m2,value_trap_score,alpha_score
772030000,Germigny-l'Évêque (commune non irisée),GrandeCouronne,3132.0,66.7,56.1
930720112,Moulin Neuf 2,PetiteCouronne,3250.0,63.8,56.1
773610000,Pierre-Levée (commune non irisée),GrandeCouronne,2550.5,83.6,55.9
930660504,Mutuelle Champ de Courses 04,PetiteCouronne,3457.0,60.5,55.9
952710000,Génicourt (commune non irisée),GrandeCouronne,3600.5,67.3,55.8
920500303,Langevin,PetiteCouronne,5260.0,61.9,55.8
930500103,Iris 3,PetiteCouronne,3143.0,65.2,55.8
770390000,Boissise-la-Bertrand (commune non irisée),GrandeCouronne,3147.0,61.7,55.7
952770501,Zone Industrielle,GrandeCouronne,3545.5,68.0,55.7
784370000,Mousseaux-sur-Seine (commune non irisée),GrandeCouronne,2575.0,81.9,55.7
930070101,Zone d'Activités Coudray Paris Nord,PetiteCouronne,3774.0,68.7,55.7
912730000,Gironville-sur-Essonne (commune non irisée),GrandeCouronne,2606.0,70.6,55.6
915490101,Le Perray,GrandeCouronne,2913.5,63.6,55.6
783440000,Lommoye (commune non irisée),GrandeCouronne,2371.5,72.3,55.6
772840301,Platanes Nord et Est et Sud,GrandeCouronne,1847.0,73.9,55.6
774680205,Belvédère,GrandeCouronne,3154.0,68.1,55.6
914080000,Moigny-sur-École (commune non irisée),GrandeCouronne,3342.5,65.9,55.6
956800103,Carreaux Nord,GrandeCouronne,2914.0,75.4,55.4
940220205,Gondoles Nord II,PetiteCouronne,3838.0,61.1,55.4
930710114,Sablons 1,PetiteCouronne,2600.0,64.8,55.4
920500704,Paquerettes Ouest,PetiteCouronne,4049.5,71.1,55.4
940540104,Tilleuls,PetiteCouronne,3626.0,65.7,55.3
950180303,Les Abattoirs,GrandeCouronne,3115.5,74.4,55.3
950180201,Basilique,GrandeCouronne,3874.0,63.0,55.2
940170702,Quatre Cités 2,PetiteCouronne,3700.0,66.8,55.2
930500111,Iris 11,PetiteCouronne,2222.0,61.0,55.2
940760120,Petits Ormes,PetiteCouronne,5398.0,65.1,55.2
786400107,Fronval,GrandeCouronne,4032.0,66.2,55.1
911840000,Courdimanche-sur-Essonne (commune non irisée),GrandeCouronne,2767.0,79.1,55.1
774710000,Tousson (commune non irisée),GrandeCouronne,2154.5,71.2,55.0
781720115,Culs Baillets,GrandeCouronne,3036.0,68.4,54.9
780530000,Béhoust (commune non irisée),GrandeCouronne,3671.0,65.8,54.9
916570103,Les Tours,GrandeCouronne,3235.5,71.4,54.8
951270118,Bastide-Horloge,GrandeCouronne,3281.0,64.9,54.8
774850000,Le Vaudoué (commune non irisée),GrandeCouronne,3225.0,63.4,54.7
930660703,Franc-Moisin Bel-Air 03,PetiteCouronne,3345.0,60.3,54.7
772390000,Jouy-le-Châtel (commune non irisée),GrandeCouronne,2290.0,63.8,54.7
786430101,Bas,GrandeCouronne,4077.5,65.3,54.7
930010802,Villette,PetiteCouronne,3688.5,62.8,54.6
784230113,Sourderie 3,GrandeCouronne,3704.0,63.0,54.6
911980000,D'Huison-Longueville (commune non irisée),GrandeCouronne,3062.0,77.3,54.5
930710108,Beaudottes Anciennes 4,PetiteCouronne,2397.0,64.6,54.5
916570101,Pasteur-Place Marx Dormoy-La Longueraie,GrandeCouronne,3635.0,60.7,54.4
911740201,Tarterêts Pablo Picasso,GrandeCouronne,1305.0,83.6,54.4
911740302,Ermitage,GrandeCouronne,2826.0,73.4,54.4
951700000,Condécourt (commune non irisée),GrandeCouronne,2746.0,69.8,54.4
786460102,Jussieu 2,GrandeCouronne,5274.0,70.4,54.4
930481105,Montreau Ruffins Clos Arachis 5,PetiteCouronne,4175.0,75.4,54.4
930570105,Stade,PetiteCouronne,3566.5,62.0,54.3
940170701,Quatre Cités 1,PetiteCouronne,4202.5,72.0,54.3
773370203,Ville Nouvelle Ouest,GrandeCouronne,2791.5,76.3,54.3
771150000,Chevry-en-Sereine (commune non irisée),GrandeCouronne,1982.0,85.9,54.2
771350000,Courpalay (commune non irisée),GrandeCouronne,2320.0,64.5,54.2
950180203,Hôtel de Ville,GrandeCouronne,3512.5,65.1,54.1
774740000,Trilbardou (commune non irisée),GrandeCouronne,2737.0,76.0,54.1
914210103,Zone S4,GrandeCouronne,3659.0,62.2,54.0
783610108,Bretonneaux,GrandeCouronne,1190.0,79.6,54.0
770500000,Bransles (commune non irisée),GrandeCouronne,1670.0,85.8,53.9
916570102,Le Lac-Briques Rouges,GrandeCouronne,3559.0,67.3,53.9
